关系名称 实际次数(头结点正确) 预测正确次数  预测次数(头结点正确) 正确比例	总出现次数  总预测次数   最频繁错误预测
elaboration-part-whole 2 0 2 0.0 2 3 elaboration-additional:1
evaluation-n 0 0 0 NaN 1 0 NULL
cause 2 0 1 0.0 2 1 elaboration-additional:1
reason 22 2 15 0.09090909090909091 26 19 elaboration-additional:5
temporal-same-time 13 1 4 0.07692307692307693 15 5 circumstance:2
Interpretation 1 0 0 0.0 1 0 Same-Unit:1
elaboration-general-specific 58 42 47 0.7241379310344828 73 51 elaboration-additional:5
circumstance-e 4 1 5 0.25 4 5 attribution:2
antithesis 22 5 21 0.22727272727272727 46 38 concession:4
Comparison 5 1 15 0.2 8 19 Same-Unit:1
Problem-Solution 2 0 0 0.0 5 1 explanation-argumentative:1
interpretation-s 8 0 7 0.0 22 15 elaboration-additional:6
interpretation-n 0 0 0 NaN 2 0 NULL
temporal-after-e 1 0 1 0.0 1 1 temporal-after:1
Sequence 18 0 2 0.0 30 7 elaboration-additional:8
comment-e 4 0 1 0.0 5 1 attribution-e:2
example-e 2 0 5 0.0 2 5 elaboration-object-attribute-e:2
temporal-same-time-e 2 0 0 0.0 2 0 elaboration-additional-e:1
condition 28 18 34 0.6428571428571429 34 39 attribution:4
temporal-after 4 0 6 0.0 7 7 result:1
Inverted-Sequence 2 0 0 0.0 4 0 elaboration-part-whole:1
means 14 6 15 0.42857142857142855 18 20 elaboration-additional:2
comparison-e 1 0 0 0.0 1 0 manner:1
comparison 11 0 4 0.0 15 7 elaboration-additional:2
elaboration-set-member 6 2 16 0.3333333333333333 6 23 elaboration-additional:2
Disjunction 4 2 7 0.5 6 7 Same-Unit:1
elaboration-set-member-e 7 2 6 0.2857142857142857 9 6 example-e:2
question-answer-s 1 0 0 0.0 1 0 summary-n:1
consequence-n 6 1 10 0.16666666666666666 12 14 result:1
contingency 3 0 1 0.0 3 1 condition:1
Topic-Drift 2 1 5 0.5 8 9 elaboration-additional:1
consequence-s 17 1 7 0.058823529411764705 25 11 elaboration-additional:4
elaboration-object-attribute 17 0 1 0.0 17 1 elaboration-object-attribute-e:13
example 20 3 24 0.15 34 37 elaboration-additional:6
comment 13 0 6 0.0 29 14 elaboration-additional:7
manner-e 1 0 1 0.0 1 1 circumstance-e:1
Topic-Shift 5 4 6 0.8 5 7 elaboration-additional:1
attribution 307 293 359 0.9543973941368078 329 396 antithesis:3
evaluation-s 10 0 4 0.0 19 12 elaboration-additional:6
rhetorical-question 1 0 0 0.0 3 0 Same-Unit:1
result 19 1 6 0.05263157894736842 29 11 elaboration-additional:8
concession 25 6 17 0.24 34 23 attribution:4
attribution-n 6 1 3 0.16666666666666666 6 6 attribution:5
summary-n 4 0 10 0.0 6 16 elaboration-additional:3
Topic-Comment 2 0 3 0.0 2 3 elaboration-object-attribute-e:1
enablement 1 0 4 0.0 3 5 attribution:1
evidence 11 1 11 0.09090909090909091 12 16 elaboration-additional:4
Question-Answer 3 0 0 0.0 3 1 elaboration-additional:1
TextualOrganization 8 2 4 0.25 9 7 attribution:2
concession-e 2 0 0 0.0 2 0 concession:1
purpose 38 25 54 0.6578947368421053 43 57 elaboration-object-attribute-e:9
elaboration-general-specific-e 4 0 3 0.0 4 4 elaboration-object-attribute-e:2
summary-s 0 0 0 NaN 1 0 NULL
problem-solution-n 0 0 0 NaN 4 0 NULL
circumstance 45 11 29 0.24444444444444444 80 47 attribution:9
elaboration-additional 166 66 197 0.39759036144578314 312 423 List:13
Consequence 3 0 0 0.0 3 0 List:2
hypothetical 1 0 0 0.0 6 1 cause:1
Contrast 42 5 17 0.11904761904761904 64 33 elaboration-additional:8
List 119 63 109 0.5294117647058824 206 179 elaboration-additional:18
Reason 0 0 0 NaN 1 0 NULL
restatement 9 0 9 0.0 13 11 elaboration-object-attribute-e:3
elaboration-part-whole-e 1 0 0 0.0 1 0 restatement-e:1
interpretation-s-e 1 0 2 0.0 1 4 List:1
elaboration-additional-e 61 24 49 0.39344262295081966 69 54 elaboration-object-attribute-e:28
Proportion 2 0 0 0.0 2 1 condition:1
Temporal-Same-Time 7 1 2 0.14285714285714285 8 4 elaboration-object-attribute-e:2
definition 14 12 12 0.8571428571428571 16 12 elaboration-additional:1
temporal-before 5 2 10 0.4 6 12 elaboration-additional-e:1
Cause-Result 8 0 2 0.0 10 3 reason:2
consequence-n-e 1 0 0 0.0 1 0 elaboration-object-attribute-e:1
condition-e 3 0 2 0.0 5 3 condition:2
background-e 1 0 0 0.0 1 0 temporal-before:1
reason-e 1 0 0 0.0 1 0 antithesis:1
elaboration-object-attribute-e 230 174 266 0.7565217391304347 250 280 purpose:21
analogy 0 0 0 NaN 1 1 NULL
explanation-argumentative 43 5 22 0.11627906976744186 70 38 elaboration-additional:12
Same-Unit 108 99 146 0.9166666666666666 127 176 List:5
preference 1 0 1 0.0 2 2 elaboration-additional:1
attribution-e 7 6 11 0.8571428571428571 8 13 attribution:1
Root 37 37 37 1.0 38 47 NULL
background 10 0 2 0.0 26 13 elaboration-additional:5
manner 7 0 8 0.0 8 10 elaboration-object-attribute-e:2
restatement-e 11 6 9 0.5454545454545454 12 10 restatement:3
Statement-Response 2 0 2 0.0 6 2 Same-Unit:1
elaboration-process-step-e 1 0 0 0.0 1 0 consequence-n:1
